0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:18:16 +0530] "GET /JHCProgramming/javavideos.jsp HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:18:27 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:20:07 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 11151
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:20:49 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:21:53 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 11590
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:22:01 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:22:03 +0530] "GET /JHCProgramming/javadocumentpage1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:22:43 +0530] "GET /JHCProgramming/javadocumentpage1.html HTTP/1.1" 200 8522
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:22:44 +0530] "GET /JHCProgramming/javadocumentpage1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:23:14 +0530] "GET /JHCProgramming/javadocumentpage1.html HTTP/1.1" 200 8410
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:24:03 +0530] "GET /JHCProgramming/javadocumentpage1.html HTTP/1.1" 200 8284
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:24:07 +0530] "GET /JHCProgramming/javavideos.jsp HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:24:10 +0530] "GET /JHCProgramming/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:24:12 +0530] "GET /JHCProgramming/cvideospage1.jsp HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:24:38 +0530] "GET /JHCProgramming/index.html HTTP/1.1" 200 14169
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:24:39 +0530] "GET /JHCProgramming/cvideospage1.html HTTP/1.1" 200 11964
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:26:08 +0530] "GET /JHCProgramming/cvideospage1.html HTTP/1.1" 200 11836
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:26:09 +0530] "GET /JHCProgramming/font/roboto/Roboto-Medium.woff2 HTTP/1.1" 200 50224
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:26:14 +0530] "GET /JHCProgramming/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:26:17 +0530] "GET /JHCProgramming/javavideos.html HTTP/1.1" 200 11222
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:26:31 +0530] "GET /JHCProgramming/javavideos.html HTTP/1.1" 200 11094
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:26:33 +0530] "GET /JHCProgramming/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:26:38 +0530] "GET /JHCProgramming/homepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:26:41 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:26:43 +0530] "GET /JHCProgramming/javadocumentpage1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:26:45 +0530] "GET /JHCProgramming/cvideospage1.jsp HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:27:18 +0530] "GET /JHCProgramming/javadocumentpage1.html HTTP/1.1" 200 8287
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:27:20 +0530] "GET /JHCProgramming/cvideospage1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:27:24 +0530] "GET /JHCProgramming/javavideos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2018:08:27:26 +0530] "GET /JHCProgramming/index.html HTTP/1.1" 304 -
