127.0.0.1 - - [03/Sep/2018:12:54:47 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Sep/2018:12:54:48 +0530] "GET /WorkShopBootStrapExample/gridsystem.jsp HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [03/Sep/2018:12:54:48 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Sep/2018:12:55:05 +0530] "GET /WorkShopBootStrapExample/gridsystem.jsp HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [03/Sep/2018:12:55:14 +0530] "GET /WorkShopBootStrapExample/gridsystem.jsp HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [03/Sep/2018:12:56:54 +0530] "GET /WorkShopBootStrapExample/gridsystem.jsp HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [03/Sep/2018:13:18:15 +0530] "GET /WorkShopBootStrapExample/index.jsp HTTP/1.1" 200 3239
0:0:0:0:0:0:0:1 - - [03/Sep/2018:13:18:15 +0530] "GET /WorkShopBootStrapExample/images/img2.jpg HTTP/1.1" 200 200883
0:0:0:0:0:0:0:1 - - [03/Sep/2018:13:18:15 +0530] "GET /WorkShopBootStrapExample/images/img1.jpg HTTP/1.1" 200 85170
0:0:0:0:0:0:0:1 - - [03/Sep/2018:13:18:15 +0530] "GET /WorkShopBootStrapExample/images/img3.jpg HTTP/1.1" 200 243201
0:0:0:0:0:0:0:1 - - [03/Sep/2018:13:18:26 +0530] "GET /WorkShopBootStrapExample/index.jsp HTTP/1.1" 200 3239
0:0:0:0:0:0:0:1 - - [03/Sep/2018:13:18:48 +0530] "GET /WorkShopBootStrapExample/index.jsp HTTP/1.1" 200 2952
0:0:0:0:0:0:0:1 - - [03/Sep/2018:13:18:48 +0530] "GET /WorkShopBootStrapExample/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2018:13:18:48 +0530] "GET /WorkShopBootStrapExample/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2018:13:18:48 +0530] "GET /WorkShopBootStrapExample/images/img3.jpg HTTP/1.1" 304 -
