0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:48:18 +0530] "GET /DTProjectsBootStrap/resources/images/img2.jpg HTTP/1.1" 200 55191
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:48:18 +0530] "GET /DTProjectsBootStrap/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:48:18 +0530] "GET /DTProjectsBootStrap/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:48:18 +0530] "GET /DTProjectsBootStrap/resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:48:59 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 4370
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:48:59 +0530] "GET /DTProjectsBootStrap/resources/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:48:59 +0530] "GET /DTProjectsBootStrap/resources/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:48:59 +0530] "GET /DTProjectsBootStrap/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:48:59 +0530] "GET /DTProjectsBootStrap/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:48:59 +0530] "GET /DTProjectsBootStrap/resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:51:07 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 4374
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:51:07 +0530] "GET /DTProjectsBootStrap/resources/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:51:07 +0530] "GET /DTProjectsBootStrap/resources/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:51:07 +0530] "GET /DTProjectsBootStrap/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:51:07 +0530] "GET /DTProjectsBootStrap/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:51:07 +0530] "GET /DTProjectsBootStrap/resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:53:42 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:53:42 +0530] "GET /DTProjectsBootStrap/resources/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:53:42 +0530] "GET /DTProjectsBootStrap/resources/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:54:41 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:54:41 +0530] "GET /DTProjectsBootStrap/resources/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:54:41 +0530] "GET /DTProjectsBootStrap/resources/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:55:24 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 4851
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:55:24 +0530] "GET /DTProjectsBootStrap/resources/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:55:24 +0530] "GET /DTProjectsBootStrap/resources/images/img2.jpg HTTP/1.1" 304 -
