127.0.0.1 - - [11/Sep/2018:11:37:07 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:37:08 +0530] "GET /BasicHtmlCss/index.html HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:37:08 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:37:52 +0530] "GET /BasicHtmlCss/index.html HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:42:16 +0530] "GET /BasicHtmlCss/index.html HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:11 +0530] "GET /BasicHtmlCss/index.html HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:44:58 +0530] "GET /BasicHtmlCss/index.html HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:49:01 +0530] "GET /BasicHtmlCss/index.html HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:49:01 +0530] "GET /BasicHtmlCss/mystyle.css HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:49:14 +0530] "GET /BasicHtmlCss/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:49:14 +0530] "GET /BasicHtmlCss/mystyle.css HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:53:35 +0530] "GET /BasicHtmlCss/index.html HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [11/Sep/2018:11:53:35 +0530] "GET /BasicHtmlCss/mystyle.css HTTP/1.1" 200 82
