127.0.0.1 - - [11/Apr/2018:15:32:17 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:32:17 +0530] "GET /JQueryRegForm/HomePage.html HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:32:18 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:33:01 +0530] "GET /JQueryRegForm/HomePage.html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:33:04 +0530] "GET /JQueryRegForm/HomePage.html? HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:33:37 +0530] "GET /JQueryRegForm/HomePage.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:34:02 +0530] "GET /JQueryRegForm/HomePage.html? HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:35:04 +0530] "GET /JQueryRegForm/HomePage.html? HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:35:54 +0530] "GET /JQueryRegForm/HomePage.html? HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:36:24 +0530] "GET /JQueryRegForm/HomePage.html? HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:36:42 +0530] "GET /JQueryRegForm/HomePage.html? HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:37:07 +0530] "GET /JQueryRegForm/HomePage.html? HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:37:28 +0530] "GET /JQueryRegForm/HomePage.html? HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:38:13 +0530] "GET /JQueryRegForm/HomePage.html? HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:45:06 +0530] "GET /JQueryRegForm/HomePage.html? HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:48:18 +0530] "GET /JQueryRegForm/HomePage.html? HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:48:21 +0530] "GET /JQueryRegForm/HomePage.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:48:45 +0530] "GET /JQueryRegForm/HomePage.html? HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [11/Apr/2018:15:48:50 +0530] "GET /JQueryRegForm/HomePage.html? HTTP/1.1" 304 -
