127.0.0.1 - - [31/Aug/2018:12:47:36 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:47:37 +0530] "GET /AngularDemo/header.jsp HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:47:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:50:02 +0530] "GET /AngularDemo/index.jsp HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:50:10 +0530] "GET /AngularDemo/product.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:50:38 +0530] "GET /AngularDemo/product.jsp HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:52:14 +0530] "GET /AngularDemo/index.jsp HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:52:16 +0530] "GET /AngularDemo/product.jsp? HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:56:09 +0530] "GET /AngularDemo/product.jsp HTTP/1.1" 200 1006
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:56:24 +0530] "GET /AngularDemo/product.jsp HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:57:02 +0530] "GET /AngularDemo/product.jsp HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:57:27 +0530] "GET /AngularDemo/product.jsp HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:57:28 +0530] "GET /AngularDemo/product.jsp HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:57:28 +0530] "GET /AngularDemo/product.jsp HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:57:45 +0530] "GET /AngularDemo/product.jsp HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:59:00 +0530] "GET /AngularDemo/product.jsp HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:59:10 +0530] "GET /AngularDemo/product.jsp HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:59:32 +0530] "GET /AngularDemo/product.jsp HTTP/1.1" 200 1011
