127.0.0.1 - - [05/Sep/2018:11:11:56 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Sep/2018:11:11:56 +0530] "GET /WorkShopBootStrapExample/index.jsp HTTP/1.1" 200 2952
0:0:0:0:0:0:0:1 - - [05/Sep/2018:11:11:57 +0530] "GET /WorkShopBootStrapExample/images/img1.jpg HTTP/1.1" 200 85170
0:0:0:0:0:0:0:1 - - [05/Sep/2018:11:11:57 +0530] "GET /WorkShopBootStrapExample/images/img3.jpg HTTP/1.1" 200 243201
0:0:0:0:0:0:0:1 - - [05/Sep/2018:11:11:57 +0530] "GET /WorkShopBootStrapExample/images/img2.jpg HTTP/1.1" 200 200883
0:0:0:0:0:0:0:1 - - [05/Sep/2018:11:11:59 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Sep/2018:11:15:41 +0530] "GET /WorkShopBootStrapExample/index.jsp HTTP/1.1" 200 3513
0:0:0:0:0:0:0:1 - - [05/Sep/2018:11:15:41 +0530] "GET /WorkShopBootStrapExample/images/j1.jpg HTTP/1.1" 200 24748
0:0:0:0:0:0:0:1 - - [05/Sep/2018:11:15:41 +0530] "GET /WorkShopBootStrapExample/images/j4.jpg HTTP/1.1" 200 8738
0:0:0:0:0:0:0:1 - - [05/Sep/2018:11:15:41 +0530] "GET /WorkShopBootStrapExample/images/j3.jpg HTTP/1.1" 200 28718
0:0:0:0:0:0:0:1 - - [05/Sep/2018:11:15:41 +0530] "GET /WorkShopBootStrapExample/images/j2.jpg HTTP/1.1" 200 25171
0:0:0:0:0:0:0:1 - - [05/Sep/2018:11:18:46 +0530] "GET /WorkShopBootStrapExample/index.jsp HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [05/Sep/2018:11:18:46 +0530] "GET /WorkShopBootStrapExample/... HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [05/Sep/2018:11:18:46 +0530] "GET /WorkShopBootStrapExample/images/j1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:11:18:46 +0530] "GET /WorkShopBootStrapExample/images/j2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:11:18:46 +0530] "GET /WorkShopBootStrapExample/images/j4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:11:18:46 +0530] "GET /WorkShopBootStrapExample/images/j3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:11:19:16 +0530] "GET /WorkShopBootStrapExample/index.jsp HTTP/1.1" 200 5182
