127.0.0.1 - - [29/Apr/2018:16:28:41 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:28:42 +0530] "GET /JHCProgramming/images/pattern/pattern1.png HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:28:42 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:32:06 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 14309
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:32:06 +0530] "GET /JHCProgramming/css/style.css HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:32:06 +0530] "GET /JHCProgramming/css/bootstrap.min.css HTTP/1.1" 200 144835
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:32:06 +0530] "GET /JHCProgramming/css/mdb.min.css HTTP/1.1" 200 181222
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:32:06 +0530] "GET /JHCProgramming/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:32:06 +0530] "GET /JHCProgramming/js/popper.min.js HTTP/1.1" 200 19197
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:32:07 +0530] "GET /JHCProgramming/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:32:07 +0530] "GET /JHCProgramming/images/iconsfacbook.png HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:32:07 +0530] "GET /JHCProgramming/images/iconsshare.png HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:32:07 +0530] "GET /JHCProgramming/images/iconsyoutube.png HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:32:07 +0530] "GET /JHCProgramming/js/mdb.min.js HTTP/1.1" 200 207332
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:32:07 +0530] "GET /JHCProgramming/images/pattern/pattern2.png HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:32:07 +0530] "GET /JHCProgramming/font/roboto/Roboto-Light.woff2 HTTP/1.1" 200 49380
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:32:07 +0530] "GET /JHCProgramming/font/roboto/Roboto-Bold.woff2 HTTP/1.1" 200 49976
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:32:07 +0530] "GET /JHCProgramming/font/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 49236
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:32:45 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 14309
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:32:45 +0530] "GET /JHCProgramming/images/pattern/pattern2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:38:25 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 15389
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:38:25 +0530] "GET /JHCProgramming/images/pattern/pattern2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:38:25 +0530] "GET /JHCProgramming/images/pattern/pattern3.png HTTP/1.1" 200 1038
0:0:0:0:0:0:0:1 - - [29/Apr/2018:16:38:47 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 15389
