127.0.0.1 - - [26/Apr/2018:18:30:57 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:30:57 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 12782
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:30:58 +0530] "GET /JHCProgramming/css/style.css HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:30:58 +0530] "GET /JHCProgramming/css/bootstrap.min.css HTTP/1.1" 200 144835
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:30:58 +0530] "GET /JHCProgramming/css/mdb.min.css HTTP/1.1" 200 181222
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:30:58 +0530] "GET /JHCProgramming/images/iconsyoutube.png HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:30:58 +0530] "GET /JHCProgramming/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:30:58 +0530] "GET /JHCProgramming/images/iconsfacbook.png HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:30:58 +0530] "GET /JHCProgramming/js/popper.min.js HTTP/1.1" 200 19197
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:30:58 +0530] "GET /JHCProgramming/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:30:58 +0530] "GET /JHCProgramming/images/iconsshare.png HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:30:58 +0530] "GET /JHCProgramming/js/mdb.min.js HTTP/1.1" 200 207332
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:30:58 +0530] "GET /JHCProgramming/font/roboto/Roboto-Light.woff2 HTTP/1.1" 200 49380
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:30:58 +0530] "GET /JHCProgramming/font/roboto/Roboto-Bold.woff2 HTTP/1.1" 200 49976
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:30:58 +0530] "GET /JHCProgramming/font/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 49236
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:30:58 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:31:27 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 12782
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:31:57 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 12782
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:33:59 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 12703
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:34:29 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 12711
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:36:08 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13445
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:36:44 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13505
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:37:13 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13777
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:38:03 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:38:16 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13816
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:38:37 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13804
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:39:05 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13798
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:39:39 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13774
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:39:56 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13818
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:40:15 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13806
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:40:28 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13800
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:41:30 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13414
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:43:22 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13454
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:43:22 +0530] "GET /JHCProgramming/images/pattern/pattern1.png HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:45:17 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13514
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:45:17 +0530] "GET /JHCProgramming/images/pattern/pattern1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:45:45 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13510
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:45:45 +0530] "GET /JHCProgramming/images/pattern/pattern1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:46:20 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13518
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:46:20 +0530] "GET /JHCProgramming/images/pattern/pattern1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:46:39 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13521
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:49:02 +0530] "GET /JHCProgramming/logicprograms.html HTTP/1.1" 200 13521
0:0:0:0:0:0:0:1 - - [26/Apr/2018:18:49:02 +0530] "GET /JHCProgramming/images/pattern/pattern1.png HTTP/1.1" 304 -
