127.0.0.1 - - [14/Aug/2018:11:27:29 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:27:31 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:27:31 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:27:45 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:27:47 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:27:47 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:27:48 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:27:48 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:27:48 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:27:48 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:27:57 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:30:19 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:30:31 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:30:32 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:30:33 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:30:33 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:30:33 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:30:33 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:30:35 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:30:35 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:30:35 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:30:36 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:30:36 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:30:37 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:30:37 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:30:37 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:30:44 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:36:34 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:36:49 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:37:04 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:38:14 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:39:28 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:48:38 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:48:38 +0530] "GET /BigBasketWebDemo/headerpage.css HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:49:07 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:49:07 +0530] "GET /BigBasketWebDemo/headerpage.css HTTP/1.1" 200 1646
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:51:41 +0530] "GET /BigBasketWebDemo/header.jsp HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [14/Aug/2018:11:51:41 +0530] "GET /BigBasketWebDemo/headerpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:03:10 +0530] "GET /BigBasketWebDemo/index.jsp HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:03:10 +0530] "GET /BigBasketWebDemo/headerpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:04:32 +0530] "GET /BigBasketWebDemo/index.jsp HTTP/1.1" 200 3114
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:04:32 +0530] "GET /BigBasketWebDemo/chicago.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:04:32 +0530] "GET /BigBasketWebDemo/ny.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:04:32 +0530] "GET /BigBasketWebDemo/la.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:04:46 +0530] "GET /BigBasketWebDemo/index.jsp HTTP/1.1" 200 3123
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:04:46 +0530] "GET /BigBasketWebDemo/headerpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:04:46 +0530] "GET /BigBasketWebDemo/chicago.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:04:46 +0530] "GET /BigBasketWebDemo/images/img1.jpg HTTP/1.1" 200 128031
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:04:46 +0530] "GET /BigBasketWebDemo/ny.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:05:03 +0530] "GET /BigBasketWebDemo/index.jsp HTTP/1.1" 200 3136
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:05:03 +0530] "GET /BigBasketWebDemo/images/img2.jpg HTTP/1.1" 200 91308
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:05:03 +0530] "GET /BigBasketWebDemo/images/img3.jpg HTTP/1.1" 200 145397
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:05:03 +0530] "GET /BigBasketWebDemo/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:07:33 +0530] "GET /BigBasketWebDemo/index.jsp HTTP/1.1" 200 3626
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:07:33 +0530] "GET /BigBasketWebDemo/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:07:33 +0530] "GET /BigBasketWebDemo/headerpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:07:33 +0530] "GET /BigBasketWebDemo/... HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:07:33 +0530] "GET /BigBasketWebDemo/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:07:33 +0530] "GET /BigBasketWebDemo/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:07:33 +0530] "GET /BigBasketWebDemo/... HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:12 +0530] "GET /BigBasketWebDemo/index.jsp HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:12 +0530] "GET /BigBasketWebDemo/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:12 +0530] "GET /BigBasketWebDemo/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:12 +0530] "GET /BigBasketWebDemo/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:12 +0530] "GET /BigBasketWebDemo/images/j2.jpg HTTP/1.1" 200 19477
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:12 +0530] "GET /BigBasketWebDemo/images/j1.jpg HTTP/1.1" 200 29745
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:12 +0530] "GET /BigBasketWebDemo/images/j3.jpg HTTP/1.1" 200 36681
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:12 +0530] "GET /BigBasketWebDemo/images/j4.jpg HTTP/1.1" 200 8493
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:49 +0530] "GET /BigBasketWebDemo/index.jsp HTTP/1.1" 200 3693
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:49 +0530] "GET /BigBasketWebDemo/headerpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:49 +0530] "GET /BigBasketWebDemo/images/j3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:49 +0530] "GET /BigBasketWebDemo/images/j4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:49 +0530] "GET /BigBasketWebDemo/images/j2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:49 +0530] "GET /BigBasketWebDemo/images/j1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:59 +0530] "GET /BigBasketWebDemo/index.jsp HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:59 +0530] "GET /BigBasketWebDemo/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:59 +0530] "GET /BigBasketWebDemo/images/j1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:59 +0530] "GET /BigBasketWebDemo/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:59 +0530] "GET /BigBasketWebDemo/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:59 +0530] "GET /BigBasketWebDemo/images/j4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:59 +0530] "GET /BigBasketWebDemo/images/j2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:09:59 +0530] "GET /BigBasketWebDemo/images/j3.jpg HTTP/1.1" 304 -
