127.0.0.1 - - [24/Mar/2018:11:26:11 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:26:12 +0530] "GET /SampleWebSite/HomePage.html HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:26:13 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:30:22 +0530] "GET /SampleWebSite/HomePage.html HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:30:22 +0530] "GET /SampleWebSite/images/logo.png HTTP/1.1" 200 97012
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:30:40 +0530] "GET /SampleWebSite/HomePage.html HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:30:40 +0530] "GET /SampleWebSite/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:31:23 +0530] "GET /SampleWebSite/HomePage.html HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:31:23 +0530] "GET /SampleWebSite/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:31:25 +0530] "GET /SampleWebSite/loginpage.html HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:31:30 +0530] "GET /SampleWebSite/regpage.html HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:32:38 +0530] "GET /SampleWebSite/regpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:32:40 +0530] "GET /SampleWebSite/HomePage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:32:40 +0530] "GET /SampleWebSite/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:32:41 +0530] "GET /SampleWebSite/loginpage.html HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:32:45 +0530] "GET /SampleWebSite/loginpage.html? HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:35:15 +0530] "GET /SampleWebSite/HomePage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:35:15 +0530] "GET /SampleWebSite/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:35:16 +0530] "GET /SampleWebSite/regpage.html HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:36:20 +0530] "GET /SampleWebSite/regpage.html HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:58:06 +0530] "GET /SampleWebSite/HomePage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:58:06 +0530] "GET /SampleWebSite/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2018:11:58:07 +0530] "GET /SampleWebSite/loginpage.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [24/Mar/2018:12:02:26 +0530] "GET /SampleWebSite/loginpage.html HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [24/Mar/2018:12:05:46 +0530] "GET /SampleWebSite/loginpage.html HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [24/Mar/2018:12:07:45 +0530] "GET /SampleWebSite/loginpage.html HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [24/Mar/2018:12:07:45 +0530] "GET /SampleWebSite/mycss.css HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [24/Mar/2018:12:12:22 +0530] "GET /SampleWebSite/loginpage.html HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [24/Mar/2018:12:12:22 +0530] "GET /SampleWebSite/mycss.css HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [24/Mar/2018:12:13:38 +0530] "GET /SampleWebSite/loginpage.html HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [24/Mar/2018:12:13:38 +0530] "GET /SampleWebSite/mycss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2018:12:17:28 +0530] "GET /SampleWebSite/loginpage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2018:12:17:28 +0530] "GET /SampleWebSite/mycss.css HTTP/1.1" 200 77
